country,learners
Afghanistan,10823
Egypt,405262
Albania,40872
Algeria,48550
Angola,1
Argentina,31550
Armenia,39938
Azerbaijan,54473
Ethiopia,1323
Australia,100210
Bangladesh,3686
Belarus,127995
Belgium,85205
Benin,57329
Bolivia,12202
Bosnia Herzegovina,159301
Botswana,-1
Brazil,117301
Bulgaria,125150
Burkina Faso,92150
Burundi,165
Chile,26592
Taiwan,23609
China,144805
Costa Rica,5898
Cote d'Ivoire,436940
Denmark,355000
Dominican Republic,2600
Ecuador,8600
El Salvador,1690
Estonia,13731
Finland,36625
France,1185680
Gabon,4363
Georgia,33202
Ghana,3838
Greece,257608
Great Britain,1168380
Guatemala,5988
Guinea,1808
Haiti,68
Honduras,1328
Hong Kong,10158
India,211038
Indonesia,164422
Iraq,1669
Iran,37428
Ireland,73603
Iceland,4076
Israel,2735
Italy,457883
Jamaica,54
Japan,242153
Jordan,8746
Cambodia,697
Cameroon,239815
Canada,31973
Kazakhstan,23034
Kenya,13125
Kyrgyzstan,24829
Colombia,19433
Kosovo,9099
Croatia,181177
Cuba,2401
Laos,65
Latvia,25514
Lebanon,5400
Lithuania,27959
Madagascar,35767
Malawi,105
Malaysia,15341
Mali,71011
Malta,-1
Morocco,38421
Mexico,85896
Moldova,1000
Mongolia,8798
Montenegro,18267
Mozambique,300
Myanmar,1634
Namibia,9248
Nepal,4017
New Zealand,4907
Nicaragua,1943
Netherlands,534557
Nigeria,10340
North Korea,302
North Macedonia,69300
Norway,79815
Oman,1436
Pakistan,13249
Palestine,3971
Panama,792
Paraguay,6241
Peru,18753
Philippines,9589
Poland,1953014
Portugal,19158
Rwanda,490
Romania,205207
Russia,1796511
Zambia,-1
Saudi Arabia,2340
Sweden,103921
Senegal,16465
Serbia,171233
Zimbabwe,1049
Singapore,5570
Slovak Republic,161019
Slovenia,63944
Spain,184556
Sri Lanka,11230
Sudan,2375
South Africa,10668
South Korea,34194
Tajikistan,36979
Tanzania,910
Thailand,17846
Togo,79685
Czech Republic,352980
Tunisia,47897
Turkmenistan,31614
Turkey,184419
Uganda,7704
Ukraine,669043
Hungary,323072
Uruguay,3955
United States,421735
Uzbekistan,406166
Venezuela,5232
United Arab Emirates,7707
Vietnam,13740
Central African Republic,2530
Cyprus,2045
total,15453528